x,t=15s,t=30s,t=60s,t=90s,t=150s,t=210s
0.00036,43.1016,50.1691,55.9161,57.5411,58.1304,58.1775
0.000364,43.0986,50.1661,55.9131,57.538,58.1274,58.1745
0.000368,43.0956,50.1631,55.9101,57.535,58.1244,58.1715
0.000372,43.0926,50.1601,55.9071,57.532,58.1214,58.1685
0.000376,43.0896,50.1571,55.9041,57.529,58.1184,58.1655
0.00038,43.0866,50.154,55.9011,57.526,58.1153,58.1625
0.000384,43.0836,50.151,55.898,57.523,58.1123,58.1595
0.000388,43.0806,50.148,55.895,57.52,58.1093,58.1564
0.000392,43.0775,50.145,55.892,57.517,58.1063,58.1534
0.000396,43.0745,50.142,55.889,57.514,58.1033,58.1504
0.0004,43.0715,50.139,55.886,57.5109,58.1003,58.1474
0.000404,43.0685,50.136,55.883,57.5079,58.0973,58.1444
0.000408,43.0655,50.133,55.88,57.5049,58.0943,58.1414
0.000412,43.0625,50.13,55.877,57.5019,58.0913,58.1384
0.000416,43.0595,50.127,55.874,57.4989,58.0883,58.1354
0.00042,43.0565,50.124,55.871,57.4959,58.0853,58.1324
0.000424,43.0535,50.121,55.868,57.4929,58.0823,58.1294
0.000428,43.0505,50.1179,55.865,57.4899,58.0792,58.1264
0.000432,43.0475,50.1149,55.862,57.4869,58.0762,58.1234
0.000436,43.0445,50.1119,55.8589,57.4839,58.0732,58.1204
0.00044,43.0415,50.1089,55.8559,57.4809,58.0702,58.1173
0.000444,43.0385,50.1059,55.8529,57.4779,58.0672,58.1143
0.000448,43.0355,50.1029,55.8499,57.4749,58.0642,58.1113
0.000452,43.0324,50.0999,55.8469,57.4719,58.0612,58.1083
0.000456,43.0294,50.0969,55.8439,57.4689,58.0582,58.1053
0.00046,43.0264,50.0939,55.8409,57.4659,58.0552,58.1023
0.000464,43.0234,50.0909,55.8379,57.4629,58.0522,58.0993
0.000468,43.0204,50.0879,55.8349,57.4599,58.0492,58.0963
0.000472,43.0174,50.0849,55.8319,57.4569,58.0462,58.0933
0.000476,43.0144,50.0819,55.8289,57.4539,58.0432,58.0903
0.00048,43.0114,50.0789,55.8259,57.4509,58.0402,58.0873
0.000484,43.0084,50.0759,55.8229,57.4479,58.0372,58.0843
0.000488,43.0054,50.0729,55.8199,57.4449,58.0342,58.0813
0.000492,43.0024,50.0699,55.8169,57.4419,58.0312,58.0783
0.000496,42.9994,50.0669,55.8139,57.4389,58.0282,58.0753
0.0005,42.9964,50.0639,55.8109,57.4359,58.0252,58.0723
0.000504,42.9934,50.0609,55.8079,57.4329,58.0222,58.0693
0.000508,42.9904,50.0579,55.8049,57.4299,58.0192,58.0663
0.000512,42.9874,50.0549,55.8019,57.4269,58.0162,58.0633
0.000516,42.9844,50.0519,55.7989,57.4239,58.0132,58.0603
0.00052,42.9815,50.0489,55.7959,57.4209,58.0102,58.0573
0.000524,42.9785,50.0459,55.7929,57.4179,58.0072,58.0543
0.000528,42.9755,50.0429,55.7899,57.4149,58.0042,58.0513
0.000532,42.9725,50.0399,55.7869,57.4119,58.0012,58.0483
0.000536,42.9695,50.0369,55.7839,57.4089,57.9982,58.0454
0.00054,42.9665,50.0339,55.781,57.4059,57.9952,58.0424
0.000544,42.9635,50.0309,55.778,57.4029,57.9922,58.0394
0.000548,42.9605,50.028,55.775,57.3999,57.9893,58.0364
0.000552,42.9575,50.025,55.772,57.3969,57.9863,58.0334
0.000556,42.9545,50.022,55.769,57.3939,57.9833,58.0304
0.00056,42.9515,50.019,55.766,57.3909,57.9803,58.0274
0.000564,42.9485,50.016,55.763,57.3879,57.9773,58.0244
0.000568,42.9455,50.013,55.76,57.3849,57.9743,58.0214
0.000572,42.9425,50.01,55.757,57.3819,57.9713,58.0184
0.000576,42.9395,50.007,55.754,57.379,57.9683,58.0154
0.00058,42.9366,50.004,55.751,57.376,57.9653,58.0124
0.000584,42.9336,50.001,55.748,57.373,57.9623,58.0094
0.000588,42.9306,49.998,55.745,57.37,57.9593,58.0065
0.000592,42.9276,49.995,55.7421,57.367,57.9563,58.0035
0.000596,42.9246,49.9921,55.7391,57.364,57.9534,58.0005
0.0006,42.9216,49.9891,55.7361,57.361,57.9504,57.9975
0.000604,42.9186,49.9861,55.7331,57.358,57.9474,57.9945
0.000608,42.9156,49.9831,55.7301,57.355,57.9444,57.9915
0.000612,42.9126,49.9801,55.7271,57.3521,57.9414,57.9885
0.000616,42.9097,49.9771,55.7241,57.3491,57.9384,57.9855
0.00062,42.9067,49.9741,55.7211,57.3461,57.9354,57.9825
0.000624,42.9037,49.9711,55.7182,57.3431,57.9324,57.9796
