t,x(0),x(M/2),x(M)
78.5,47.6604,37.1446,33.8609
79,47.886,37.3647,34.0804
79.5,48.1067,37.5802,34.2954
80,48.3227,37.7913,34.506
80.5,48.5342,37.9979,34.7123
81,48.7412,38.2002,34.9143
81.5,48.9438,38.3983,35.1122
82,49.1421,38.5923,35.306
82.5,49.3363,38.7822,35.4958
83,49.5264,38.9682,35.6816
83.5,49.7125,39.1503,35.8637
84,49.8947,39.3287,36.0419
84.5,50.0731,39.5033,36.2164
85,50.2478,39.6742,36.3873
85.5,50.4188,39.8416,36.5547
86,50.5863,40.0055,36.7186
86.5,50.7502,40.166,36.879
87,50.9107,40.3232,37.0362
87.5,51.0679,40.4771,37.19
88,51.2218,40.6278,37.3407
88.5,51.3725,40.7753,37.4882
89,51.5201,40.9198,37.6326
89.5,51.6646,41.0612,37.7741
90,51.806,41.1997,37.9126
90.5,51.9445,41.2127,38.0412
91,47.7916,41.0716,38.1462
91.5,45.8255,40.8135,38.2134
92,44.414,40.4836,38.2332
92.5,43.2832,40.115,38.2024
93,42.3292,39.7281,38.1223
93.5,41.4995,39.3348,37.9976
94,40.763,38.9418,37.8342
94.5,40.0993,38.5525,37.6385
95,39.4939,38.169,37.4164
95.5,38.9364,37.792,37.1735
96,38.4187,37.4223,36.9144
96.5,37.9345,37.0598,36.6431
97,37.4788,36.7046,36.3629
97.5,37.0476,36.3568,36.0766
98,36.6375,36.0161,35.7865
98.5,36.246,35.6824,35.4943
99,35.8707,35.3557,35.2016
99.5,35.51,35.0358,34.9095
100,35.1622,34.7226,34.6191
100.5,34.8261,34.4159,34.3311
101,34.5006,34.1155,34.0461
101.5,34.185,33.8215,33.7646
102,33.8784,33.5335,33.4869
102.5,33.5801,33.2516,33.2134
103,33.2898,32.9755,32.9442
103.5,33.0068,32.7052,32.6795
104,32.7308,32.4405,32.4195
104.5,32.4615,32.1813,32.1641
105,32.1985,31.9275,31.9134
105.5,31.9416,31.679,31.6675
106,31.6906,31.4357,31.4263
106.5,31.4452,31.1975,31.1897
107,31.2052,30.9642,30.9578
107.5,30.9705,30.7358,30.7306
108,30.741,30.5121,30.5079
108.5,30.5164,30.2931,30.2896
109,30.2966,30.0787,30.0758
109.5,30.0815,29.8687,29.8664
110,29.871,29.6631,29.6612
110.5,29.665,29.4618,29.4602
111,29.4634,29.2647,29.2634
111.5,29.266,29.0717,29.0706
112,29.0727,28.8827,28.8818
112.5,28.8835,28.6976,28.6969
113,28.6983,28.5164,28.5158
113.5,28.517,28.339,28.3385
114,28.3395,28.1652,28.1649
114.5,28.1656,27.9951,27.9948
115,27.9955,27.8286,27.8283
115.5,27.8288,27.6655,27.6653
116,27.6657,27.5058,27.5056
116.5,27.506,27.3494,27.3493
117,27.3496,27.1963,27.1962
117.5,27.1964,27.0464,27.0463
118,27.0465,26.8996,26.8995
118.5,26.8997,26.7558,26.7558
119,26.7559,26.6151,26.615
119.5,26.6151,26.4773,26.4772
120,26.4773,26.3423,26.3423
120.5,26.3424,26.3329,26.2172
121,30.4988,26.4773,26.1156
121.5,32.4683,26.7388,26.0518
122,33.8831,27.072,26.0352
122.5,35.0172,27.4438,26.0692
123,35.9744,27.8338,26.1524
123.5,36.8072,28.2302,26.2803
124,37.5468,28.6262,26.4467
124.5,38.2136,29.0184,26.6453
125,38.8219,29.4049,26.8703
125.5,39.3823,29.7846,27.116
126,39.9028,30.1572,27.3779
126.5,40.3898,30.5224,27.6519
127,40.8482,30.8802,27.9347
127.5,41.2821,31.2307,28.2236
128,41.6947,31.5739,28.5163
128.5,42.0888,31.91,28.811
129,42.4666,32.2391,29.1061
129.5,42.8298,32.5614,29.4006
130,43.1799,32.877,29.6933
130.5,43.5184,33.186,29.9836
131,43.8461,33.4886,30.2709
131.5,44.164,33.7849,30.5546
132,44.4728,34.075,30.8344
132.5,44.7732,34.359,31.11
133,45.0657,34.6372,31.3813
133.5,45.3507,34.9095,31.648
134,45.6287,35.1762,31.91
134.5,45.9,35.4373,32.1673
135,46.1649,35.693,32.4199
135.5,46.4237,35.9433,32.6677
136,46.6766,36.1884,32.9107
136.5,46.9238,36.4284,33.149
137,47.1656,36.6635,33.3827
137.5,47.402,36.8936,33.6116
138,47.6332,37.1189,33.836
138.5,47.8595,37.3396,34.0559
139,48.0809,37.5556,34.2713
139.5,48.2976,37.7672,34.4823
140,48.5097,37.9743,34.689
140.5,48.7172,38.1771,34.8915
141,48.9204,38.3757,35.0898
141.5,49.1193,38.5701,35.284
142,49.3139,38.7606,35.4743
142.5,49.5045,38.947,35.6605
143,49.6911,39.1295,35.843
143.5,49.8738,39.3083,36.0216
144,50.0527,39.4833,36.1965
144.5,50.2278,39.6547,36.3679
145,50.3992,39.8225,36.5356
145.5,50.5671,39.9868,36.6999
146,50.7315,40.1477,36.8607
146.5,50.8924,40.3052,37.0182
147,51.05,40.4595,37.1725
147.5,51.2042,40.6105,37.3235
148,51.3553,40.7584,37.4714
148.5,51.5032,40.9033,37.6162
149,51.648,41.0451,37.7579
149.5,51.7899,41.1839,37.8968
150,51.9287,41.3198,38.0327
150.5,52.0647,41.3303,38.1588
151,47.9092,41.1868,38.2614
151.5,45.9407,40.9263,38.3261
152,44.5268,40.5941,38.3437
152.5,43.3936,40.2231,38.3105
153,42.4373,39.834,38.2282
153.5,41.6054,39.4385,38.1013
154,40.8667,39.0433,37.9357
154.5,40.2008,38.6519,37.7378
155,39.5933,38.2663,37.5137
155.5,39.0338,37.8873,37.2688
156,38.514,37.5156,37.0077
156.5,38.0278,37.1511,36.7345
157,37.5702,36.7941,36.4524
157.5,37.1371,36.4444,36.1642
158,36.7251,36.1018,35.8723
158.5,36.3318,35.7664,35.5783
159,35.9547,35.438,35.2838
159.5,35.5922,35.1164,34.9901
160,35.2427,34.8014,34.698
160.5,34.9049,34.4931,34.4083
161,34.5779,34.1911,34.1217
161.5,34.2606,33.8955,33.8386
162,33.9524,33.606,33.5594
162.5,33.6526,33.3225,33.2843
163,33.3607,33.045,33.0137
163.5,33.0763,32.7732,32.7476
164,32.7988,32.5071,32.4861
164.5,32.5281,32.2465,32.2293
165,32.2637,31.9914,31.9773
165.5,32.0055,31.7416,31.73
166,31.7531,31.497,31.4875
166.5,31.5064,31.2574,31.2497
167,31.2652,31.0229,31.0166
167.5,31.0293,30.7933,30.7881
168,30.7985,30.5684,30.5642
168.5,30.5727,30.3482,30.3447
169,30.3517,30.1326,30.1298
169.5,30.1355,29.9216,29.9192
170,29.9239,29.7149,29.7129
170.5,29.7168,29.5125,29.5109
171,29.514,29.3143,29.313
171.5,29.3156,29.1202,29.1192
172,29.1213,28.9302,28.9294
172.5,28.9311,28.7442,28.7435
173,28.7449,28.562,28.5614
173.5,28.5626,28.3836,28.3832
174,28.3841,28.209,28.2086
174.5,28.2094,28.038,28.0376
175,28.0383,27.8705,27.8702
175.5,27.8708,27.7065,27.7063
176,27.7067,27.546,27.5458
176.5,27.5462,27.3888,27.3886
177,27.3889,27.2348,27.2347
177.5,27.235,27.0841,27.084
178,27.0842,26.9365,26.9364
178.5,26.9366,26.792,26.792
179,26.7921,26.6505,26.6505
179.5,26.6506,26.512,26.5119
180,26.512,26.3763,26.3763
180.5,26.3763,26.3661,26.2504
181,30.532,26.5099,26.1482
181.5,32.5009,26.7706,26.0837
182,33.915,27.1032,26.0664
182.5,35.0485,27.4744,26.0998
183,36.005,27.8638,26.1824
183.5,36.8372,28.2595,26.3096
184,37.5761,28.6549,26.4754
184.5,38.2423,29.0465,26.6734
185,38.85,29.4324,26.8978
185.5,39.4098,29.8116,27.1429
186,39.9297,30.1836,27.4042
186.5,40.4161,30.5482,27.6777
187,40.874,30.9055,27.96
187.5,41.3074,31.2554,28.2484
188,41.7195,31.5981,28.5405
188.5,42.1131,31.9338,28.8347
189,42.4903,32.2624,29.1294
189.5,42.853,32.5842,29.4233
190,43.2027,32.8993,29.7156
190.5,43.5407,33.2079,30.0055
191,43.8679,33.51,30.2923
191.5,44.1854,33.8058,30.5755
192,44.4938,34.0955,30.8549
192.5,44.7937,34.3791,31.1301
193,45.0858,34.6568,31.4009
193.5,45.3704,34.9287,31.6672
194,45.648,35.195,31.9288
194.5,45.9189,35.4557,32.1858
195,46.1834,35.711,32.4379
195.5,46.4418,35.961,32.6854
196,46.6943,36.2057,32.928
196.5,46.9411,36.4454,33.166
197,47.1825,36.6801,33.3993
197.5,47.4186,36.9099,33.6279
198,47.6495,37.1348,33.8519
198.5,47.8754,37.3552,34.0715
199,48.0965,37.5709,34.2866
199.5,48.3129,37.7821,34.4973
200,48.5246,37.9889,34.7037
200.5,48.7318,38.1914,34.9058
201,48.9347,38.3897,35.1038
201.5,49.1333,38.5839,35.2978
202,49.3277,38.774,35.4877
202.5,49.518,38.9602,35.6737
203,49.7043,39.1424,35.8559
203.5,49.8867,39.3209,36.0342
204,50.0653,39.4957,36.2089
204.5,50.2401,39.6668,36.38
205,50.4113,39.8344,36.5475
205.5,50.579,39.9984,36.7115
206,50.7431,40.1591,36.8721
206.5,50.9038,40.3164,37.0294
207,51.0611,40.4704,37.1834
207.5,51.2151,40.6212,37.3341
208,51.366,40.7689,37.4818
208.5,51.5137,40.9135,37.6264
209,51.6583,41.0551,37.768
209.5,51.7999,41.1937,37.9066
210,51.9385,41.3295,38.0423
210.5,52.0743,41.3397,38.1682
211,47.9186,41.196,38.2706
211.5,45.9499,40.9353,38.3352
212,44.5358,40.6029,38.3525
212.5,43.4024,40.2317,38.3192
213,42.446,39.8424,38.2367
213.5,41.6139,39.4468,38.1095
214,40.875,39.0514,37.9438
214.5,40.2089,38.6599,37.7458
215,39.6013,38.2741,37.5215
215.5,39.0415,37.895,37.2764
216,38.5217,37.523,37.0152
216.5,38.0353,37.1584,36.7418
217,37.5775,36.8012,36.4596
217.5,37.1442,36.4514,36.1713
218,36.7321,36.1087,35.8791
218.5,36.3386,35.7731,35.585
219,35.9614,35.4445,35.2904
219.5,35.5988,35.1228,34.9965
220,35.2491,34.8077,34.7043
220.5,34.9112,34.4992,34.4145
221,34.584,34.1972,34.1277
221.5,34.2666,33.9014,33.8445
222,33.9583,33.6118,33.5652
222.5,33.6584,33.3282,33.29
223,33.3664,33.0505,33.0193
223.5,33.0818,32.7787,32.753
224,32.8043,32.5124,32.4914
224.5,32.5334,32.2518,32.2346
225,32.269,31.9965,31.9824
225.5,32.0106,31.7466,31.735
226,31.7581,31.5019,31.4924
226.5,31.5113,31.2622,31.2545
227,31.27,31.0276,31.0213
227.5,31.034,30.7979,30.7927
228,30.8031,30.5729,30.5687
228.5,30.5772,30.3526,30.3492
229,30.3561,30.137,30.1341
229.5,30.1398,29.9258,29.9234
230,29.9281,29.719,29.7171
230.5,29.7209,29.5165,29.5149
231,29.5181,29.3182,29.317
231.5,29.3195,29.1241,29.1231
232,29.1252,28.934,28.9332
232.5,28.9349,28.7479,28.7472
233,28.7486,28.5657,28.5651
233.5,28.5662,28.3872,28.3867
234,28.3877,28.2125,28.2121
234.5,28.2129,28.0414,28.0411
235,28.0417,27.8739,27.8736
235.5,27.8741,27.7098,27.7096
236,27.71,27.5492,27.549
236.5,27.5494,27.3919,27.3918
237,27.3921,27.2379,27.2378
237.5,27.238,27.0871,27.087
238,27.0872,26.9395,26.9394
238.5,26.9396,26.7949,26.7948
239,26.795,26.6533,26.6533
239.5,26.6534,26.5147,26.5147
240,26.5148,26.379,26.379
240.5,26.379,26.3688,26.2531
241,30.5347,26.5125,26.1508
241.5,32.5035,26.7732,26.0862
242,33.9176,27.1057,26.0689
242.5,35.051,27.4768,26.1022
243,36.0075,27.8662,26.1848
243.5,36.8396,28.2618,26.3119
244,37.5785,28.6572,26.4777
244.5,38.2446,29.0488,26.6757
245,38.8522,29.4346,26.9
245.5,39.412,29.8137,27.1451
246,39.9319,30.1857,27.4064
246.5,40.4182,30.5503,27.6798
247,40.8761,30.9075,27.962
247.5,41.3094,31.2574,28.2503
248,41.7215,31.6001,28.5425
248.5,42.115,31.9357,28.8366
249,42.4922,32.2643,29.1312
249.5,42.8549,32.586,29.4252
250,43.2045,32.9011,29.7174
250.5,43.5425,33.2096,30.0072
251,43.8697,33.5117,30.294
251.5,44.1871,33.8075,30.5772
252,44.4954,34.0971,30.8566
252.5,44.7953,34.3807,31.1317
253,45.0874,34.6584,31.4025
253.5,45.3719,34.9303,31.6687
254,45.6495,35.1965,31.9303
254.5,45.9204,35.4572,32.1872
255,46.1848,35.7125,32.4394
255.5,46.4432,35.9624,32.6868
256,46.6957,36.2071,32.9294
256.5,46.9425,36.4468,33.1673
257,47.1839,36.6814,33.4006
257.5,47.4199,36.9112,33.6292
258,47.6508,37.1361,33.8532
258.5,47.8767,37.3564,34.0727
259,48.0978,37.5721,34.2878
259.5,48.3141,37.7833,34.4985
260,48.5258,37.9901,34.7048
260.5,48.733,38.1926,34.907
261,48.9359,38.3908,35.105
261.5,49.1344,38.585,35.2989
262,49.3288,38.7751,35.4888
262.5,49.5191,38.9612,35.6748
263,49.7054,39.1435,35.8569
263.5,49.8877,39.3219,36.0352
264,50.0663,39.4967,36.2099
264.5,50.2411,39.6678,36.3809
265,50.4123,39.8353,36.5484
265.5,50.5799,39.9994,36.7124
266,50.744,40.16,36.873
266.5,50.9047,40.3173,37.0302
267,51.062,40.4713,37.1842
267.5,51.216,40.6221,37.335
268,51.3668,40.7697,37.4826
268.5,51.5145,40.9143,37.6272
269,51.6591,41.0559,37.7688
269.5,51.8007,41.1945,37.9074
270,51.9393,41.3302,38.0431
270.5,52.075,41.3405,38.169
271,47.9194,41.1967,38.2713
271.5,45.9506,40.9361,38.3359
272,44.5365,40.6036,38.3532
272.5,43.4031,40.2324,38.3199
273,42.4467,39.8431,38.2373
273.5,41.6145,39.4475,38.1102
274,40.8756,39.0521,37.9445
274.5,40.2095,38.6605,37.7464
275,39.6019,38.2747,37.5221
275.5,39.0422,37.8956,37.277
276,38.5223,37.5236,37.0158
276.5,38.0359,37.159,36.7424
277,37.5781,36.8018,36.4601
277.5,37.1448,36.4519,36.1718
278,36.7327,36.1092,35.8797
278.5,36.3392,35.7737,35.5855
279,35.962,35.4451,35.2909
279.5,35.5993,35.1233,34.997
280,35.2496,34.8082,34.7048
280.5,34.9117,34.4997,34.415
281,34.5845,34.1977,34.1282
281.5,34.2671,33.9019,33.845
282,33.9588,33.6123,33.5656
282.5,33.6589,33.3287,33.2905
283,33.3668,33.051,33.0197
283.5,33.0823,32.7791,32.7535
284,32.8047,32.5129,32.4919
284.5,32.5339,32.2522,32.235
285,32.2694,31.9969,31.9828
285.5,32.011,31.747,31.7354
286,31.7585,31.5023,31.4928
286.5,31.5117,31.2626,31.2549
287,31.2704,31.028,31.0216
287.5,31.0343,30.7982,30.793
288,30.8034,30.5733,30.569
288.5,30.5775,30.353,30.3495
289,30.3565,30.1373,30.1344
289.5,30.1402,29.9261,29.9238
290,29.9285,29.7193,29.7174
290.5,29.7212,29.5168,29.5153
291,29.5184,29.3186,29.3173
291.5,29.3199,29.1244,29.1234
292,29.1255,28.9343,28.9335
292.5,28.9352,28.7482,28.7475
293,28.7489,28.566,28.5654
293.5,28.5665,28.3875,28.387
294,28.388,28.2128,28.2124
294.5,28.2131,28.0417,28.0413
295,28.042,27.8741,27.8739
295.5,27.8744,27.7101,27.7099
296,27.7103,27.5494,27.5493
296.5,27.5496,27.3922,27.392
297,27.3923,27.2382,27.238
297.5,27.2383,27.0874,27.0873
298,27.0875,26.9397,26.9396
298.5,26.9398,26.7951,26.7951
299,26.7952,26.6536,26.6535
299.5,26.6536,26.515,26.5149
